Model,Avg,ace_Arab,ace_Latn,acm_Arab,acq_Arab,aeb_Arab,afr_Latn,ajp_Arab,aka_Latn,als_Latn,amh_Ethi,apc_Arab,arb_Arab,arb_Latn,ars_Arab,ary_Arab,arz_Arab,asm_Beng,ast_Latn,awa_Deva,ayr_Latn,azb_Arab,azj_Latn,bak_Cyrl,bam_Latn,ban_Latn,bel_Cyrl,bem_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bod_Tibt,bos_Latn,bug_Latn,bul_Cyrl,cat_Latn,ceb_Latn,ces_Latn,cjk_Latn,ckb_Arab,crh_Latn,cym_Latn,dan_Latn,deu_Latn,dik_Latn,dyu_Latn,dzo_Tibt,ell_Grek,eng_Latn,epo_Latn,est_Latn,eus_Latn,ewe_Latn,fao_Latn,fij_Latn,fin_Latn,fon_Latn,fra_Latn,fur_Latn,fuv_Latn,gaz_Latn,gla_Latn,gle_Latn,glg_Latn,grn_Latn,guj_Gujr,hat_Latn,hau_Latn,heb_Hebr,hin_Deva,hne_Deva,hrv_Latn,hun_Latn,hye_Armn,ibo_Latn,ilo_Latn,ind_Latn,isl_Latn,ita_Latn,jav_Latn,jpn_Jpan,kab_Latn,kac_Latn,kam_Latn,kan_Knda,kas_Arab,kas_Deva,kat_Geor,kaz_Cyrl,kbp_Latn,kea_Latn,khk_Cyrl,khm_Khmr,kik_Latn,kin_Latn,kir_Cyrl,kmb_Latn,kmr_Latn,knc_Arab,knc_Latn,kon_Latn,kor_Hang,lao_Laoo,lij_Latn,lim_Latn,lin_Latn,lit_Latn,lmo_Latn,ltg_Latn,ltz_Latn,lua_Latn,lug_Latn,luo_Latn,lus_Latn,lvs_Latn,mag_Deva,mai_Deva,mal_Mlym,mar_Deva,min_Arab,min_Latn,mkd_Cyrl,mlt_Latn,mni_Beng,mos_Latn,mri_Latn,mya_Mymr,nld_Latn,nno_Latn,nob_Latn,npi_Deva,nqo_Nkoo,nso_Latn,nus_Latn,nya_Latn,oci_Latn,ory_Orya,pag_Latn,pan_Guru,pap_Latn,pbt_Arab,pes_Arab,plt_Latn,pol_Latn,por_Latn,prs_Arab,quy_Latn,ron_Latn,run_Latn,rus_Cyrl,sag_Latn,san_Deva,sat_Olck,scn_Latn,shn_Mymr,sin_Sinh,slk_Latn,slv_Latn,smo_Latn,sna_Latn,snd_Arab,som_Latn,sot_Latn,spa_Latn,srd_Latn,srp_Cyrl,ssw_Latn,sun_Latn,swe_Latn,swh_Latn,szl_Latn,tam_Taml,taq_Latn,taq_Tfng,tat_Cyrl,tel_Telu,tgk_Cyrl,tgl_Latn,tha_Thai,tir_Ethi,tpi_Latn,tsn_Latn,tso_Latn,tuk_Latn,tum_Latn,tur_Latn,twi_Latn,tzm_Tfng,uig_Arab,ukr_Cyrl,umb_Latn,urd_Arab,uzn_Latn,vec_Latn,vie_Latn,war_Latn,wol_Latn,xho_Latn,ydd_Hebr,yor_Latn,yue_Hant,zho_Hans,zho_Hant,zsm_Latn,zul_Latn
bloom-7b1,0.1781,0.1225,0.1765,0.2892,0.2598,0.2353,0.1912,0.2500,0.1667,0.1765,0.1225,0.2696,0.3039,0.1078,0.3039,0.2402,0.2598,0.1275,0.1618,0.2157,0.1667,0.1765,0.1373,0.1618,0.1422,0.2010,0.1618,0.1275,0.1618,0.1814,0.1029,0.1520,0.1127,0.1373,0.1961,0.2451,0.2353,0.1961,0.1814,0.1275,0.1471,0.1275,0.1422,0.1961,0.3676,0.1520,0.1422,0.1275,0.1716,0.3480,0.1569,0.1471,0.2010,0.1225,0.1422,0.1324,0.1520,0.1471,0.2990,0.1912,0.1029,0.0931,0.1275,0.0931,0.2010,0.2353,0.2941,0.1471,0.1078,0.1422,0.2647,0.2059,0.1422,0.1667,0.1618,0.1912,0.1814,0.1422,0.1618,0.2353,0.2059,0.3873,0.1127,0.1324,0.1324,0.2206,0.1765,0.1569,0.0882,0.1863,0.1275,0.1912,0.1324,0.1373,0.1373,0.1373,0.1863,0.1520,0.1225,0.1176,0.1471,0.1618,0.1863,0.1127,0.1814,0.1863,0.1716,0.1471,0.1667,0.1422,0.2206,0.1373,0.1225,0.1422,0.2010,0.1520,0.1863,0.2059,0.2696,0.2990,0.0931,0.1569,0.1814,0.1520,0.1471,0.1176,0.1275,0.1569,0.2745,0.2304,0.2304,0.2206,0.0980,0.1569,0.1029,0.1471,0.1961,0.3186,0.2108,0.2598,0.1814,0.1814,0.2451,0.1667,0.1716,0.2500,0.2500,0.1912,0.2206,0.1422,0.2892,0.1520,0.2353,0.1127,0.1471,0.2010,0.1078,0.2206,0.1520,0.1618,0.1422,0.1765,0.1275,0.1520,0.2059,0.1618,0.1471,0.1275,0.2010,0.2255,0.1520,0.1569,0.2745,0.1275,0.1324,0.1520,0.2059,0.1225,0.1520,0.1078,0.1078,0.2108,0.1225,0.1471,0.1373,0.1667,0.1176,0.1961,0.1373,0.1324,0.2255,0.1324,0.2598,0.1324,0.1814,0.1912,0.2108,0.1422,0.1176,0.1471,0.1765,0.4167,0.3775,0.3971,0.1471,0.1078
bloomz-7b1,0.2973,0.2108,0.3137,0.3578,0.3431,0.3431,0.3088,0.3676,0.3137,0.2451,0.2108,0.3676,0.3382,0.2549,0.3382,0.3480,0.3578,0.3235,0.3725,0.3873,0.2696,0.2255,0.2745,0.2402,0.3088,0.3431,0.2108,0.2843,0.3137,0.3725,0.2206,0.3333,0.2206,0.3137,0.3039,0.2745,0.3431,0.3235,0.2892,0.2941,0.2157,0.2843,0.2892,0.3235,0.3431,0.3039,0.2647,0.2010,0.2206,0.4167,0.3088,0.3088,0.3333,0.2990,0.2843,0.2794,0.2745,0.2696,0.3480,0.3186,0.2794,0.2598,0.2745,0.2892,0.3824,0.3088,0.2696,0.3088,0.2745,0.2157,0.4265,0.3725,0.2794,0.2843,0.2108,0.3235,0.3039,0.3676,0.2696,0.3529,0.3480,0.3235,0.2402,0.2892,0.2843,0.2794,0.2500,0.3186,0.2255,0.2549,0.2892,0.3382,0.2255,0.2990,0.3186,0.3382,0.2402,0.2892,0.2843,0.2010,0.2990,0.2892,0.2794,0.2647,0.2892,0.3186,0.3627,0.2892,0.2990,0.2598,0.2892,0.2892,0.3284,0.2843,0.3039,0.2745,0.3775,0.3676,0.3137,0.3971,0.2059,0.3382,0.2696,0.3039,0.2647,0.2549,0.2696,0.2206,0.3186,0.2941,0.3088,0.3039,0.1961,0.3382,0.2598,0.3186,0.3382,0.2353,0.3382,0.2500,0.3627,0.2696,0.2696,0.2647,0.3186,0.3824,0.2402,0.2745,0.3137,0.3039,0.3186,0.2598,0.3529,0.2059,0.3186,0.2402,0.2157,0.2941,0.2794,0.2745,0.3088,0.2598,0.2598,0.3137,0.3922,0.3382,0.2794,0.3039,0.3284,0.3235,0.3529,0.3088,0.3088,0.2745,0.2157,0.2304,0.3088,0.2500,0.3333,0.2500,0.2059,0.3431,0.3333,0.3186,0.2892,0.3137,0.2941,0.3284,0.1961,0.2304,0.2794,0.2696,0.3333,0.2451,0.3333,0.3578,0.3333,0.3039,0.3235,0.2108,0.3333,0.3775,0.3971,0.3775,0.3480,0.3235
CodeLlama-7b-hf,0.2335,0.1520,0.2549,0.2598,0.2500,0.2402,0.2941,0.2549,0.1765,0.2598,0.1569,0.2206,0.2549,0.1765,0.2549,0.2304,0.2353,0.1667,0.3333,0.2353,0.1716,0.2010,0.2402,0.2255,0.1667,0.3284,0.2500,0.1863,0.1863,0.1961,0.1569,0.2794,0.1520,0.4069,0.2500,0.2794,0.3529,0.2843,0.3873,0.1863,0.1569,0.2598,0.2108,0.3529,0.3431,0.1765,0.1912,0.1422,0.2990,0.3971,0.3235,0.2647,0.2010,0.1667,0.2794,0.1814,0.3431,0.1569,0.3578,0.2990,0.1814,0.1569,0.1716,0.1520,0.3186,0.2696,0.1324,0.2255,0.1618,0.2059,0.2402,0.2402,0.3775,0.3235,0.1569,0.1667,0.2647,0.3529,0.2696,0.3137,0.3088,0.3088,0.1471,0.1618,0.1765,0.1422,0.1814,0.1814,0.1814,0.2451,0.1569,0.2892,0.1618,0.1520,0.1765,0.1667,0.2255,0.1863,0.1667,0.1324,0.1814,0.1961,0.3480,0.1765,0.2990,0.2892,0.2108,0.2794,0.2990,0.2549,0.2500,0.2206,0.1471,0.1814,0.2598,0.2892,0.2353,0.2402,0.1422,0.1814,0.1471,0.2892,0.2843,0.2500,0.1569,0.1814,0.1765,0.1471,0.3824,0.3578,0.3578,0.2255,0.1471,0.1814,0.1422,0.1863,0.3382,0.1471,0.2892,0.1324,0.2696,0.2059,0.2794,0.2010,0.4118,0.3725,0.2549,0.2059,0.3725,0.1814,0.3284,0.1814,0.1814,0.1373,0.2843,0.1912,0.1471,0.3676,0.3529,0.1814,0.1667,0.1716,0.1863,0.1667,0.3431,0.2647,0.3186,0.1814,0.3088,0.3627,0.2206,0.3480,0.1520,0.1814,0.1373,0.2255,0.1471,0.1863,0.2647,0.3039,0.1422,0.2843,0.1716,0.1716,0.2157,0.1863,0.3676,0.1667,0.1471,0.1667,0.2941,0.2010,0.2059,0.2059,0.3235,0.3088,0.2843,0.2206,0.1961,0.1618,0.1569,0.3333,0.3039,0.3088,0.3088,0.1667
gemma-2-9b,0.4625,0.2990,0.4902,0.5490,0.4755,0.5245,0.5392,0.4902,0.4314,0.4804,0.4706,0.5000,0.4706,0.4755,0.4559,0.4902,0.5147,0.5490,0.5098,0.4069,0.3431,0.4755,0.6029,0.5882,0.4118,0.5637,0.5441,0.3971,0.5490,0.3480,0.3039,0.5784,0.2745,0.5049,0.4608,0.5637,0.4951,0.5539,0.4461,0.3824,0.4069,0.5539,0.5294,0.5000,0.4804,0.3922,0.3627,0.2794,0.4657,0.5931,0.5049,0.5294,0.5000,0.4020,0.5000,0.4069,0.4853,0.3480,0.5049,0.4804,0.3725,0.3676,0.4510,0.4804,0.4608,0.4657,0.4559,0.5196,0.5686,0.4804,0.3676,0.3775,0.5147,0.4951,0.5392,0.5000,0.5392,0.5490,0.5637,0.4657,0.5980,0.5588,0.3382,0.3382,0.3824,0.6324,0.3873,0.3235,0.6029,0.5588,0.4412,0.5245,0.5441,0.4167,0.4314,0.4559,0.5637,0.3578,0.4461,0.2647,0.3627,0.4020,0.5784,0.4559,0.4608,0.4853,0.4118,0.4755,0.4559,0.4755,0.5000,0.3824,0.4069,0.3676,0.5686,0.5147,0.3480,0.3382,0.4216,0.3627,0.3088,0.5686,0.5686,0.4853,0.3382,0.3431,0.3627,0.4608,0.5343,0.4657,0.4608,0.2941,0.3039,0.4657,0.3137,0.4657,0.4461,0.4461,0.5735,0.3529,0.5490,0.3676,0.4265,0.4412,0.4559,0.4902,0.4118,0.4314,0.5441,0.4412,0.5882,0.3676,0.3775,0.3971,0.4853,0.3137,0.5147,0.4314,0.5196,0.3873,0.4412,0.3284,0.5147,0.4657,0.4755,0.4951,0.5294,0.5000,0.6078,0.5000,0.5049,0.4363,0.4951,0.3873,0.2794,0.5343,0.5049,0.5931,0.5931,0.4951,0.4216,0.5637,0.4657,0.4118,0.5245,0.4118,0.5392,0.4510,0.2843,0.4265,0.6127,0.3529,0.3775,0.5931,0.4510,0.5196,0.5833,0.4216,0.5000,0.5098,0.4265,0.5000,0.4853,0.5147,0.5637,0.5000
gemma-7b,0.5821,0.3676,0.5833,0.6471,0.6667,0.6520,0.7157,0.6667,0.4363,0.7108,0.5049,0.6716,0.6422,0.4706,0.6324,0.6225,0.6716,0.6520,0.7353,0.6225,0.4069,0.6078,0.7108,0.6765,0.3971,0.6471,0.6618,0.4755,0.6961,0.5882,0.3235,0.6225,0.2647,0.7549,0.5196,0.6569,0.7108,0.6225,0.6863,0.3725,0.5343,0.6667,0.6225,0.7402,0.7059,0.4167,0.4069,0.2059,0.7010,0.6863,0.7206,0.7402,0.7059,0.3775,0.6667,0.4069,0.6961,0.3382,0.7010,0.6029,0.4363,0.3824,0.5392,0.6176,0.6863,0.6176,0.6765,0.6569,0.6275,0.6716,0.6814,0.6324,0.7696,0.7304,0.6961,0.6324,0.5882,0.6814,0.6569,0.7304,0.6078,0.6863,0.3137,0.4020,0.3627,0.7696,0.4804,0.4853,0.7157,0.6863,0.4020,0.6814,0.6029,0.6520,0.4902,0.5343,0.6422,0.3922,0.5784,0.2206,0.4314,0.4951,0.7010,0.5392,0.6618,0.6814,0.5147,0.7010,0.6422,0.5882,0.6422,0.4510,0.4559,0.4314,0.5490,0.7304,0.6078,0.6176,0.6716,0.6127,0.3186,0.6814,0.6765,0.6765,0.4412,0.3922,0.5000,0.6324,0.6961,0.7059,0.7304,0.6569,0.1618,0.4951,0.3186,0.5490,0.6569,0.4755,0.5735,0.7304,0.6373,0.5392,0.6275,0.5343,0.7059,0.6912,0.6520,0.4804,0.7304,0.4510,0.7059,0.3971,0.5931,0.3333,0.6765,0.3873,0.7010,0.7157,0.7157,0.4706,0.4951,0.5833,0.4902,0.4951,0.6716,0.6618,0.7353,0.5000,0.6814,0.7451,0.6225,0.6471,0.7304,0.4069,0.1471,0.6373,0.7010,0.6029,0.6814,0.6078,0.4069,0.6029,0.4706,0.4902,0.6127,0.5098,0.6863,0.4755,0.1716,0.5147,0.6912,0.4020,0.5980,0.6814,0.6324,0.7010,0.6176,0.4951,0.5588,0.6814,0.4363,0.6863,0.7108,0.7010,0.7206,0.5539
emma-500-llama2-7b,0.3127,0.2353,0.3578,0.3578,0.3284,0.3431,0.4069,0.3382,0.2892,0.3480,0.2549,0.3529,0.3578,0.2010,0.3431,0.3382,0.3382,0.2647,0.3873,0.2647,0.2647,0.2990,0.3137,0.3284,0.2647,0.3775,0.3480,0.2598,0.2647,0.2647,0.2304,0.3627,0.1912,0.3725,0.3137,0.3284,0.3971,0.3676,0.3725,0.2010,0.2892,0.3137,0.3627,0.3529,0.3578,0.2598,0.2255,0.1618,0.3137,0.3775,0.3775,0.3382,0.3627,0.3088,0.3382,0.3137,0.2843,0.2745,0.3873,0.3627,0.2402,0.3039,0.3775,0.4069,0.3775,0.3284,0.2206,0.3775,0.3235,0.3284,0.2696,0.2745,0.3824,0.3382,0.2647,0.3137,0.3676,0.3725,0.3578,0.3676,0.4069,0.3039,0.2451,0.2794,0.2451,0.2255,0.2843,0.2255,0.3088,0.2990,0.2990,0.3578,0.2990,0.2108,0.2353,0.3235,0.2990,0.2206,0.3627,0.1814,0.2843,0.2892,0.2647,0.2353,0.3627,0.3529,0.3382,0.3578,0.3627,0.3480,0.3725,0.2745,0.2892,0.2794,0.3333,0.3333,0.2794,0.2941,0.2745,0.2794,0.2108,0.3873,0.3480,0.3529,0.2451,0.2108,0.3578,0.2451,0.3627,0.3235,0.3235,0.2794,0.1471,0.3284,0.1912,0.3775,0.3529,0.2010,0.4265,0.2304,0.3873,0.2843,0.2990,0.3627,0.3775,0.3873,0.2843,0.3284,0.3824,0.3333,0.3775,0.2549,0.2451,0.1716,0.3529,0.1961,0.2402,0.3431,0.3824,0.3431,0.3676,0.2794,0.3088,0.3284,0.4020,0.3382,0.3627,0.3529,0.4020,0.3578,0.3578,0.3431,0.2892,0.2990,0.1569,0.2843,0.2010,0.3284,0.3824,0.2794,0.2206,0.3873,0.3284,0.3382,0.3529,0.3775,0.3431,0.2892,0.1569,0.2745,0.3627,0.2255,0.2696,0.3284,0.3725,0.3186,0.3578,0.2843,0.3775,0.3039,0.2843,0.3775,0.3775,0.3676,0.3971,0.3627
Llama-2-7b-chat-hf,0.2558,0.1471,0.2745,0.2745,0.3039,0.2843,0.4069,0.2990,0.2059,0.2745,0.1520,0.2941,0.3088,0.1912,0.3186,0.2647,0.2892,0.1520,0.3431,0.2500,0.1961,0.1863,0.2647,0.2402,0.2010,0.3088,0.2990,0.1863,0.1716,0.2402,0.1569,0.2794,0.1422,0.3922,0.2696,0.3775,0.3873,0.3235,0.4216,0.2059,0.1569,0.2696,0.2500,0.4118,0.3873,0.2059,0.1863,0.1520,0.2892,0.4706,0.3333,0.2745,0.2647,0.2010,0.2598,0.1912,0.3824,0.1765,0.4265,0.3235,0.1667,0.1961,0.2402,0.2647,0.3775,0.2647,0.1471,0.2990,0.1863,0.2451,0.2794,0.2353,0.3775,0.3627,0.1569,0.1912,0.2794,0.3873,0.2647,0.4167,0.2843,0.3824,0.1618,0.1863,0.1814,0.1471,0.1912,0.2108,0.2157,0.2206,0.1912,0.3284,0.1667,0.1716,0.2108,0.1814,0.2108,0.1863,0.2010,0.1569,0.2157,0.1961,0.3480,0.1618,0.3235,0.3431,0.2353,0.2500,0.3431,0.2647,0.3333,0.2353,0.2010,0.1863,0.2549,0.2990,0.2402,0.2451,0.1618,0.2108,0.1569,0.2990,0.3431,0.2941,0.1716,0.2206,0.1961,0.1618,0.4020,0.3824,0.3775,0.2402,0.1667,0.2108,0.1814,0.2108,0.3971,0.1569,0.2941,0.1520,0.2941,0.1912,0.2794,0.1912,0.4216,0.4167,0.2549,0.1961,0.3971,0.1814,0.3873,0.2108,0.2010,0.1520,0.3039,0.1863,0.1520,0.3775,0.3873,0.1863,0.1863,0.1863,0.1961,0.2157,0.4216,0.3333,0.3922,0.1814,0.3088,0.4020,0.2059,0.3284,0.1520,0.2010,0.1618,0.2157,0.1569,0.1667,0.3235,0.2745,0.1422,0.3333,0.2108,0.1765,0.2206,0.1961,0.3186,0.2059,0.1422,0.1569,0.4020,0.2059,0.2255,0.2059,0.3480,0.3725,0.3088,0.2304,0.1961,0.1569,0.1814,0.3725,0.3627,0.3775,0.3529,0.1716
Llama-2-7b-hf,0.2241,0.1422,0.2108,0.2353,0.2500,0.2402,0.3578,0.2206,0.1667,0.2353,0.1422,0.2010,0.2402,0.1863,0.2451,0.2206,0.2402,0.1716,0.3186,0.2402,0.1716,0.1667,0.2010,0.1912,0.1667,0.2402,0.2157,0.1716,0.1961,0.1912,0.1471,0.2451,0.1471,0.3676,0.2108,0.2892,0.3725,0.2598,0.3676,0.1814,0.1716,0.1912,0.2108,0.3627,0.3971,0.1814,0.1667,0.1520,0.2549,0.4020,0.3480,0.2794,0.1961,0.1471,0.2500,0.1765,0.3873,0.1520,0.3775,0.2549,0.1667,0.1618,0.1912,0.2059,0.3382,0.2255,0.1471,0.2157,0.1667,0.1765,0.2353,0.2157,0.3873,0.3284,0.1569,0.1667,0.2402,0.3725,0.2696,0.3627,0.2402,0.3480,0.1422,0.1765,0.1618,0.1520,0.1765,0.1912,0.1618,0.1667,0.1667,0.2794,0.1569,0.1765,0.1716,0.1618,0.1765,0.1765,0.1814,0.1422,0.1716,0.1716,0.2010,0.1520,0.2794,0.2843,0.1912,0.2255,0.3088,0.2451,0.2647,0.1912,0.1814,0.1716,0.2059,0.2500,0.1961,0.2059,0.1667,0.1765,0.1422,0.2353,0.2647,0.2892,0.1471,0.1569,0.1912,0.1471,0.3824,0.3725,0.3775,0.2402,0.1520,0.1814,0.1520,0.1765,0.3382,0.1520,0.2402,0.1471,0.2500,0.1912,0.3088,0.1961,0.3775,0.3725,0.2794,0.1765,0.3431,0.1667,0.2892,0.1863,0.1716,0.1422,0.2794,0.1814,0.1520,0.3235,0.3529,0.1716,0.1618,0.1667,0.1863,0.1912,0.3824,0.2549,0.3137,0.1618,0.2402,0.3971,0.1667,0.2745,0.1471,0.1814,0.1471,0.1716,0.1471,0.1471,0.2647,0.2353,0.1422,0.2745,0.1863,0.1667,0.1863,0.1667,0.2598,0.1716,0.1176,0.1520,0.2941,0.1814,0.1716,0.1814,0.3088,0.3088,0.2696,0.1961,0.1716,0.1520,0.1569,0.3333,0.3382,0.3382,0.3235,0.1569
LLaMAX2-7B,0.1061,0.0931,0.0931,0.1078,0.0931,0.1078,0.1225,0.1078,0.0931,0.0931,0.0931,0.1029,0.0980,0.0931,0.0931,0.1029,0.1029,0.0931,0.1275,0.0931,0.0931,0.0931,0.0980,0.0980,0.0931,0.0931,0.1422,0.0931,0.0980,0.0931,0.0931,0.0931,0.0931,0.1422,0.0931,0.1912,0.1225,0.0931,0.1275,0.0931,0.0931,0.0931,0.0931,0.1422,0.2059,0.0931,0.0931,0.0931,0.1078,0.2206,0.0980,0.1176,0.0882,0.0931,0.0931,0.0931,0.1029,0.0931,0.1765,0.1029,0.0931,0.0931,0.0931,0.0980,0.1569,0.0931,0.0931,0.0931,0.0931,0.1520,0.0931,0.0931,0.1471,0.0931,0.0931,0.0931,0.0931,0.1029,0.1029,0.1863,0.0931,0.1176,0.0931,0.0931,0.0931,0.0931,0.0931,0.0931,0.1029,0.1029,0.0931,0.0980,0.0980,0.0931,0.0980,0.0931,0.1078,0.0931,0.1029,0.0931,0.0931,0.0931,0.1471,0.0931,0.0882,0.1029,0.0931,0.1225,0.0980,0.0931,0.1275,0.0931,0.0931,0.0931,0.0931,0.1225,0.0931,0.0931,0.0931,0.1029,0.0931,0.0931,0.1716,0.1127,0.0931,0.0882,0.0931,0.0931,0.1814,0.1422,0.1373,0.0931,0.0980,0.0931,0.0931,0.0931,0.1176,0.0931,0.1029,0.0931,0.0931,0.0931,0.1078,0.0931,0.1324,0.1863,0.1078,0.0931,0.1029,0.0931,0.1961,0.0931,0.0931,0.0931,0.0980,0.0931,0.0931,0.1373,0.1225,0.0931,0.0931,0.0931,0.0931,0.0931,0.1814,0.0882,0.2059,0.0931,0.0931,0.1814,0.0980,0.0980,0.0980,0.0931,0.0931,0.1078,0.0931,0.1029,0.1422,0.1029,0.0931,0.0931,0.0931,0.0931,0.0931,0.0931,0.1078,0.0931,0.0931,0.0931,0.1618,0.0931,0.0931,0.0931,0.1324,0.1765,0.0931,0.0931,0.0931,0.0931,0.0931,0.0931,0.0980,0.0980,0.0980,0.0931
LLaMAX2-7B-Alpaca,0.2789,0.1471,0.2794,0.2990,0.3088,0.2598,0.4510,0.2941,0.1814,0.3578,0.1716,0.2892,0.2990,0.1814,0.2990,0.2549,0.2598,0.2647,0.3824,0.2500,0.1814,0.2059,0.3382,0.2794,0.1863,0.3529,0.3088,0.1961,0.2941,0.2255,0.1520,0.3235,0.1471,0.4314,0.2304,0.4069,0.3922,0.3775,0.4020,0.1814,0.2696,0.2696,0.3333,0.4265,0.4167,0.1912,0.2010,0.1471,0.2892,0.4559,0.3775,0.4118,0.3284,0.1716,0.3333,0.2010,0.3382,0.1618,0.4314,0.3039,0.1912,0.2598,0.2941,0.3137,0.3775,0.2745,0.1667,0.3529,0.3235,0.2941,0.3039,0.2451,0.4314,0.3284,0.2304,0.2843,0.2745,0.4216,0.3676,0.3873,0.3627,0.3431,0.1569,0.1667,0.1716,0.1618,0.2010,0.1716,0.2451,0.2990,0.1814,0.3284,0.3137,0.2059,0.1863,0.3235,0.2843,0.1765,0.3333,0.1520,0.1765,0.1961,0.2745,0.1716,0.2843,0.3382,0.2549,0.3725,0.3235,0.2990,0.2990,0.2108,0.2402,0.1912,0.2402,0.3873,0.2598,0.2255,0.2696,0.2549,0.1569,0.2990,0.3775,0.3676,0.1569,0.1765,0.3333,0.1912,0.4167,0.4118,0.4118,0.2647,0.1471,0.2304,0.1569,0.2745,0.3431,0.1618,0.2892,0.1765,0.3039,0.2451,0.3235,0.2647,0.4167,0.4167,0.3382,0.2255,0.4314,0.2598,0.4167,0.1961,0.2059,0.1471,0.2990,0.1520,0.1716,0.3480,0.4167,0.2598,0.2843,0.2353,0.2941,0.2304,0.4314,0.3235,0.4118,0.2402,0.3676,0.4118,0.3578,0.3284,0.2255,0.1912,0.1471,0.2843,0.1569,0.3088,0.3529,0.2549,0.1471,0.2696,0.2157,0.1912,0.2843,0.2157,0.3480,0.1961,0.1520,0.1618,0.3922,0.1765,0.2794,0.3480,0.3627,0.3480,0.3137,0.2402,0.2892,0.1520,0.2402,0.3333,0.3971,0.3431,0.3971,0.2941
